Unnamed: 0,Name,Parliament
17,Albertus van Naamen van Eemnes,1896-1899
18,Hermanus Adrianus Nebbens Sterling,1896-1899
19,Anthony Ewoud Jan Nysingh,1896-1899
20,Cornelis Pijnacker Hordijk,1896-1899
21,Adrianus Prins,1896-1899
22,Eduard Nicolaas Rahusen,1896-1899
23,Jan Hendrik Frans Karel van Swinderen,1896-1899
24,Gijsbert van Tienhoven,1896-1899
25,Sjoerd Anne Vening Meinesz,1896-1899
26,Theodorus Pieter Viruly,1896-1899
27,Benjamin Marius Vlielander Hein,1896-1899
28,Wilco Julius van Welderen Rengers,1896-1899
29,Derk Knol Welt,1896-1899
30,Abraham Carel Wertheim,1896-1899
31,Willem Cornelis Johannes Josephus Cremers,1896-1899
32,Léon Armand Hyacinthe Magnée,1896-1899
33,Willem Merkelbach,1896-1899
34,Leo van Nispen,1896-1899
35,Franciscus Xaverius Jacobus Nispen tot Pannerden,1896-1899
36,Willem Prinzen Fzn.,1896-1899
37,Willem Hubert Pyls,1896-1899
38,Frederic Joseph Maria Anton Reekers,1896-1899
39,Hubert Gérard Louis Regout,1896-1899
40,Alphonsus Maria Sassen,1896-1899
41,Petrus Johannes Antonius Smitz,1896-1899
42,Johannes Baptista Arnoldus Josephus Maria Verheyen,1896-1899
43,Emilius Henricus Josephus Maria van Zinnicq Bergmann,1896-1899
44,Titus van Asch van Wijck,1896-1899
45,Derck Engelberts,1896-1899
46,Robert Melvil van Lynden,1896-1899
47,Karel Antonie Godin de Beaufort,1896-1899
48,Jan Elias Nicolaas Schimmelpenninck van der Oye,1896-1899
49,Willem Constantijn van Pallandt van Waardenburg,1896-1899
50,Cornelis Jacob Sickesz,1896-1899
51,Dirk Laan,1896-1899
52,Jan Willem Hendrik Rutgers van Rozenburg,1896-1899
53,Joan Röell,1896-1899
54,Frederik Bernard s' Jacob,1896-1899
55,Jacob Willem van den Biesen,1896-1899
56,Petrus van der Does de Willebois,1896-1899
57,Stephanus Martinus van Wijck,1896-1899
58,Willem Gerard Brantsen van de Zijp,1896-1899
0,Willem Carel Antoon Alberda van Ekenstein,1899-1902
1,Frederik Herman Pieter van Alphen,1899-1902
2,Willem Adriaan Bergsma,1899-1902
3,Rembt Tobias Hugo Pieter Liebrecht Alexander van Boneval Faure,1899-1902
4,Jan Breebaart Kzn.,1899-1902
5,Herman Frederik Bultman,1899-1902
6,Hendrik Fennema,1899-1902
7,Isaäc Dignus Fransen van de Putte,1899-1902
8,Johan Herman Geertsema Czn.,1899-1902
9,Maurits Cornelis van Hall,1899-1902
10,Gerrit Jan van Heek,1899-1902
