,Name,Parliament
8,Isaäc Dignus Fransen van de Putte,1887-1888
9,Maurits Herman Insinger,1887-1888
10,Jacob Moolenburgh,1887-1888
11,Hendrik Muller Szn.,1887-1888
12,Albertus van Naamen van Eemnes,1887-1888
13,Joan Röell,1887-1888
14,Berend van Roijen,1887-1888
15,Cornelis Jacob Sickesz,1887-1888
16,Willem de Sitter,1887-1888
17,Charles Theodorus Stork,1887-1888
18,Jan Hendrik Frans Karel van Swinderen,1887-1888
19,Johannes Tak van Poortvliet,1887-1888
20,Jacobus Thooft,1887-1888
21,Gijsbert van Tienhoven,1887-1888
22,Sjoerd Vening Meinesz,1887-1888
23,Theodorus Pieter Viruly,1887-1888
24,Joost van Vollenhoven,1887-1888
25,Godert Willem de Vos van Steenwijk,1887-1888
26,Abraham Carel Wertheim,1887-1888
27,Jacobus Gerardus de Bruijn,1887-1888
28,Johannes Hengst,1887-1888
29,Léon Armand Hyacinthe Magnée,1887-1888
30,Leo van Nispen,1887-1888
31,Willem Hubert Pyls,1887-1888
32,Hubert Gérard Louis Regout,1887-1888
33,Johannes Theodorus Smits van Oyen,1887-1888
34,Petrus Johannes Antonius Smitz,1887-1888
35,Johannes Baptista Arnoldus Josephus Maria Verheyen,1887-1888
36,Willem Constantijn van Pallandt van Waardenburg,1887-1888
37,Willem Anne Assueer Jacob Schimmelpenninck van der Oye,1887-1888
38,Pieter Jacob Elout van Soeterwoude tot 5 december 1887,1887-1888
39,Robert Melvil van Lynden vanaf 28 december 1887,1887-1888
0,Dirk van Akerlaken,1888-1890
1,Willem Carel Antoon Alberda van Ekenstein,1888-1890
2,Albert Jan Blijdenstein,1888-1890
3,Adolph Blussé,1888-1890
4,Jacob van der Breggen Azn.,1888-1890
5,Doede Doedes Breuning,1888-1890
6,Herman Frederik Bultman,1888-1890
7,Hendrikus Albertus Diedericus Coenen,1888-1890
8,Cornelis Donker Tzn.,1888-1890
9,Frans Julius Johan van Eysinga,1888-1890
10,Isaäc Dignus Fransen van de Putte,1888-1890
11,Jan van Gennep,1888-1890
12,Henri Maarten Anton van der Goes van Dirxland tot 29 januari 1890,1888-1890
13,Joan Huydecoper van Maarsseveen,1888-1890
14,Maurits Herman Insinger,1888-1890
15,Jan Kappeyne van de Coppello,1888-1890
16,Hendrik van Lier,1888-1890
17,Jacob Moolenburgh,1888-1890
18,Hendrik Muller Szn.,1888-1890
19,Albertus van Naamen van Eemnes,1888-1890
20,Jan Prins,1888-1890
21,Berend van Roijen,1888-1890
22,Willem Six,1888-1890
23,Charles Theodorus Stork,1888-1890
24,Jan Hendrik Frans Karel van Swinderen,1888-1890
25,Jacobus Thooft,1888-1890
26,Gijsbert van Tienhoven,1888-1890
27,Sjoerd Vening Meinesz,1888-1890
28,Theodorus Pieter Viruly,1888-1890
29,Benjamin Marius Vlielander Hein,1888-1890
30,Godert Willem de Vos van Steenwijk tot 6 januari 1890,1888-1890
31,Wilco Julius van Welderen Rengers,1888-1890
32,Derk Knol Welt,1888-1890
33,Abraham Carel Wertheim,1888-1890
34,Jacobus Gerardus de Bruijn,1888-1890
35,Johannes Hengst,1888-1890
36,Léon Armand Hyacinthe Magnée,1888-1890
37,Leo van Nispen,1888-1890
38,Willem Hubert Pyls,1888-1890
39,Hubert Gérard Louis Regout,1888-1890
40,Hendrikus Martinus Smits tot 20 maart 1890,1888-1890
41,Johannes Theodorus Smits van Oyen,1888-1890
42,Petrus Johannes Antonius Smitz,1888-1890
43,Johannes Baptista Arnoldus Josephus Maria Verheyen,1888-1890
44,Willem Constantijn van Pallandt van Waardenburg,1888-1890
45,Willem Anne Assueer Jacob Schimmelpenninck van der Oye tot 30 augustus 1889,1888-1890
46,Jacob Pieter Pompejus van Zuylen van Nijevelt,1888-1890
47,Justinus Egbert Hendrik van Nagell,1888-1890
48,Menso Johannes Pijnappel,1888-1890
49,Robert Melvil van Lynden,1888-1890
50,Frederik Herman Pieter van Alphen vanaf 8 april 1890,1888-1890
51,Anthony Ewoud Jan Nysingh vanaf 8 april 1890,1888-1890
52,Franciscus Xaverius Jacobus van Nispen tot Pannerden vanaf 21 oktober 1889,1888-1890
53,Willem Merkelbach vanaf 5 mei 1890,1888-1890
0,Dirk van Akerlaken tot 17 januari 1892,1890-1893
1,Willem Carel Antoon Alberda van Ekenstein,1890-1893
2,Frederik Herman Pieter van Alphen,1890-1893
3,Albert Jan Blijdenstein,1890-1893
4,Adolph Blussé tot 17 december 1890,1890-1893
5,Jacobus van der Breggen Azn.,1890-1893
6,Doede Doedes Breuning,1890-1893
7,Herman Frederik Bultman,1890-1893
8,Hendrikus Albertus Diedericus Coenen,1890-1893
9,Cornelis Donker Tzn. tot 16 december 1891,1890-1893
10,Frans Julius Johan van Eysinga,1890-1893
11,Isaäc Dignus Fransen van de Putte,1890-1893
12,Jan van Gennep,1890-1893
13,Joan Huydecoper van Maarsseveen tot 28 november 1890,1890-1893
14,Maurits Herman Insinger tot 3 november 1891,1890-1893
15,Jan Kappeyne van de Coppello,1890-1893
16,Hendrik van Lier,1890-1893
17,Jacob Moolenburgh tot 25 april 1892,1890-1893
18,Hendrik Muller Szn.,1890-1893
19,Albertus van Naamen van Eemnes,1890-1893
20,Anthony Ewoud Jan Nysingh,1890-1893
21,Jan Prins,1890-1893
22,Berend van Roijen,1890-1893
23,Willem Six,1890-1893
24,Charles Theodorus Stork,1890-1893
25,Jan Hendrik Frans Karel van Swinderen,1890-1893
26,Jacobus Thooft,1890-1893
27,Gijsbert van Tienhoven tot 21 augustus 1891,1890-1893
28,Sjoerd Vening Meinesz,1890-1893
29,Theodorus Pieter Viruly,1890-1893
30,Benjamin Marius Vlielander Hein,1890-1893
31,Wilco Julius van Welderen Rengers,1890-1893
32,Derk Knol Welt,1890-1893
33,Abraham Carel Wertheim,1890-1893
34,Jacobus Gerardus de Bruijn tot 12 juni 1892,1890-1893
35,Johannes Hengst tot 30 oktober 1890,1890-1893
36,Léon Armand Hyacinthe Magnée,1890-1893
37,Willem Merkelbach,1890-1893
38,Leo van Nispen,1890-1893
39,Franciscus Xaverius Jacobus van Nispen tot Pannerden,1890-1893
40,Willem Hubert Pyls,1890-1893
41,Hubert Gérard Louis Regout,1890-1893
42,Johannes Theodorus Smits van Oyen tot 10 september 1892,1890-1893
43,Petrus Johannes Antonius Smitz,1890-1893
44,Johannes Baptista Arnoldus Josephus Maria Verheyen,1890-1893
45,Willem Constantijn van Pallandt van Waardenburg,1890-1893
46,Jacob Pieter Pompejus van Zuylen van Nijevelt tot 3 november 1890,1890-1893
47,Justinus Egbert Hendrik van Nagell,1890-1893
48,Menso Johannes Pijnappel,1890-1893
49,Robert Melvil van Lynden,1890-1893
50,Eppo Cremers vanaf 26 januari 1891,1890-1893
51,Hermanus Adrianus Nebbens Sterling vanaf 26 januari 1891,1890-1893
52,Herman Jacob Kist vanaf 30 november 1891,1890-1893
53,Eduard Nicolaas Rahusen vanaf 30 november 1891,1890-1893
54,Jan Breebaart Kzn. vanaf 25 januari 1892,1890-1893
55,Adrianus Prins vanaf 29 maart 1892,1890-1893
56,Eduard Fokker vanaf 8 juni 1892,1890-1893
