,Naam_x,District,Verkiezingdatum,Sterfdatum,Vermogen,Naam_y,matched b1-nummer,nw0,Vermogen_deflated,nw0_deflated
199,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,A.F.K. Hartogh,00525,299479.575,322732.4277104304,268197.577832307
200,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,B.H. Heldt,00553,942.0,322732.4277104304,818.1270002310321
201,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,J.W.H. Rutgers van Rozenburg,01148,932582.27,322732.4277104304,844663.3662986878
202,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,11/03/1905,355024.25,J.D. Veegens,01391,46534.3,322732.4277104304,42844.31206167665
203,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,B.H. Heldt,00553,942.0,0.0,818.1270002310321
204,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,A.F.K. Hartogh,00525,299479.575,0.0,268197.577832307
205,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,A. Kerdijk,00682,,0.0,
206,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,J.P.R. Tak van Poortvliet,01339,1515387.13,0.0,1368528.3605292214
207,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,J.T. Cremer,00279,,0.0,
208,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,W.K.M. Vrolik,01491,75097.99,0.0,67820.11480705916
209,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,M.W.F. Treub,01375,70949.45,0.0,46542.461708945135
210,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,J.G. Gleichman,00462,663355.45,0.0,605681.4640750177
211,E.J.J. Kuinders,Amsterdam,10/04/1894,21/01/1916,0,J.W.H. Rutgers van Rozenburg,01148,932582.27,0.0,844663.3662986878
212,jhr. J.B. van Merlen,Haarlemmermeer,09/06/1891,23/02/1909,20718.66,F.J.M.A. Reekers,01091,234556.0,19193.766633079664,120529.53179612223
213,jhr. J.B. van Merlen,Haarlemmermeer,23/06/1891,23/02/1909,20718.66,F.J.M.A. Reekers,01091,234556.0,19193.766633079664,120529.53179612223
214,mr. J. Fortuijn Droogleever,Gouda,15/05/1888,16/12/1897,42472.22,O.J.E. van Wassenaer van Catwijck,01510,865244.75,43777.73918898917,642819.5123363473
215,S.A. Maas,Schiedam,10/04/1894,07/04/1898,516592.11,O.J.H. graaf van Limburg Stirum,00825,659357.58,527153.3866258484,563135.075400157
216,S.A. Maas,Schiedam,24/04/1894,07/04/1898,516592.11,O.J.H. graaf van Limburg Stirum,00825,659357.58,527153.3866258484,563135.075400157
217,P.C. Evers,Den Haag,06/03/1888,06/02/1912,533694.54,R.J. graaf van Schimmelpenninck,01202,52516.85,475837.91011970217,53035.91186180322
218,P.C. Evers,Den Haag,06/03/1888,06/02/1912,533694.54,L.J.S. van Kempen,00680,787279.31,475837.91011970217,724851.1407143004
219,P.C. Evers,Den Haag,06/03/1888,06/02/1912,533694.54,L.G. Greeve,00483,-3976.6,475837.91011970217,-3772.44904432415
220,C.A. Steger,Den Haag,09/06/1891,24/05/1904,76141.68,J.F.W. Conrad,00264,46901.34,68762.65901660429,42479.730746242145
221,C.A. Steger,Den Haag,09/06/1891,24/05/1904,76141.68,J.M. Pijnacker Hordijk,01067,1673508.0,68762.65901660429,1063859.3831533366
222,C.A. Steger,Den Haag,09/06/1891,24/05/1904,76141.68,H.D. Guyot,00498,157637.66,68762.65901660429,140548.51430662972
223,mr. A.J.W. van Roijen,Den Haag,11/05/1894,28/03/1897,79719.55,J.G.S. Bevers,00108,-4366.5,82169.98471385724,-4045.1256019135576
224,J.J. van Tienhoven van den Boogaard,Gorinchem,06/03/1888,09/07/1897,455960.26,H. Seret,01238,4436.6,469975.6533287804,3955.638129700691
225,W.F. Tak,Gorinchem,09/06/1891,06/12/1910,15660.35,H. Seret,01238,4436.6,14418.5455114846,3955.638129700691
226,J.A. van Haaften,Sliedrecht,24/04/1894,08/04/1897,219524.43,A. Kuyper,00766,196020.0,226272.21374704476,95930.78725689568
227,A.D. de Marez Oyens,Amsterdam II,15/06/1897,19/07/1924,2874672.52,H.F. Groen van Waarder,00486,712206.54,1720993.8687410122,643185.3809820791
228,H.C. van der Houven van Oordt,Apeldoorn,15/06/1897,15/04/1901,10000,W.K.F.P. graaf van Bylandt,00245,,8955.45473618049,
229,J. Bouwes,Appingedam,15/06/1897,20/02/1906,89187.51,J. Schepel,01191,20128.53,81433.29738830861,18647.070200821046
230,H.A. Pauwen,Doetinchem,15/06/1897,17/05/1918,266114.47,H.F. Hesselink van Suchtelen,00568,,169170.61400505828,
231,H.A. Pauwen,Doetinchem,25/06/1897,17/05/1918,266114.47,H.F. Hesselink van Suchtelen,00568,,169170.61400505828,
232,Z. Middelkoop,Franeker,15/06/1897,07/04/1913,146850.29,F. Lieftinck,00815,140421.18,133843.50607272712,95152.32344017574
233,L. Modoo,Haarlem,11/05/1900,06/10/1893,1134.47,T.A.J. van Asch van Wijck,01573,584226.8,1145.6827842846612,527608.3773928009
234,A. Wiersinga,Hoogezand,15/06/1897,16/08/1899,7620.5,J.D. Veegens,01391,46534.3,7570.8124577365,42844.31206167665
235,A. Wiersinga,Winschoten,15/06/1897,16/08/1899,7620.5,D. Bos,00175,40350.64,7570.8124577365,29977.85167823387
236,J. Deen,Amsterdam V,14/06/1901,23/12/1915,221271.58,T.M. Ketelaar,00689,-608.38,192174.36728426837,-468.93550060803256
237,J. Deen,Amsterdam V,27/06/1901,23/12/1915,221271.58,T.M. Ketelaar,00689,-608.38,192174.36728426837,-468.93550060803256
238,C.S. Jaring,Den Helder,14/06/1901,15/11/1908,2062.01,A.P. Staalman,01293,,1790.6766174708007,
239,mr. H.J. Doude van Troostwijk,Breukelen,14/06/1901,11/02/1925,225833.34,F.J.A.M. Wierdels,01118,583211.25,135200.7196622537,506518.9707680366
240,mr. F.O. van der Dussen,Kampen,14/06/1901,04/02/1925,510914.83,Æ. van Mackay 2,00861,,305871.8110537532,
241,F.H. Boels,Veendam,30/07/1901,11/12/1919,2083.92,P.J. Troelstra,01376,9204.94,1098.3059838735007,5676.088164660174
242,mr. G.A.P.M. van der Aa,Amsterdam V,16/06/1905,20/07/1916,7828.18,T.M. Ketelaar,00689,-608.38,5815.819004370608,-468.93550060803256
243,J.G. van Kuykhof,Amsterdam IX,16/06/1905,25/06/1921,1067.52,C.T. van Deventer,00303,690315.01,480.48919070345454,599538.5863543046
244,J.G. van Kuykhof,Amsterdam V,11/06/1909,25/06/1921,1067.52,T.M. Ketelaar,00689,-608.38,480.48919070345454,-468.93550060803256
245,B. Berends,Meppel,11/06/1909,14/10/1918,85138.85,H. Smeenge,01269,,54123.29337139975,
246,F.C.J. Netscher,Enkhuizen,17/06/1913,19/11/1923,253.33,N. Oosterbaan,01003,5477.0,147.3699468225339,3711.3295549990576
247,mr. P.W.A. Grevelink,Assen,30/11/1848,17/04/1896,10229.13,J.T. Homan,00872,,10959.7821376282,
248,mr. J. Tonckens,Assen,30/11/1848,29/04/1857,,J.T. Homan,00872,,,
249,mr. C. Hiddingh,Assen,30/11/1848,04/09/1871,,J.T. Homan,00872,,,
250,jhr.mr. H.J.L. van der Wijck,Assen,30/11/1848,23/10/1860,260213.56,J.T. Homan,00872,,156571.6204542965,
251,A. van der Vlies,Hoogeveen,26/12/1848,12/04/1873,,G. de Serière,01257,540471.855,,396854.756034984
252,R.J.N. Walter,Grave,30/11/1848,17/04/1877,,J.B.J. Hengst,00561,413418.965,,393354.92013928073
253,C.J. de Bordes,Sneek,13/06/1871,27/04/1917,3138.75,A. Moens,00931,1750.0,2126.882534371607,1738.58956775
254,A. Brummelkamp sr.,Dokkum,12/06/1877,02-06-1888,23507.11,B.P. van Harinxma thoe Slooten,00520,1415907.0,21933.739834980966,823677.1771825426
255,mr. A. de Pinto,Zwolle,27/08/1850,26/05/1878,1178.0,B.W.A.E. van Sloet tot Oldhuis,01260,240349.575,810.8845200155688,205274.46736870866
256,mr. A. de Pinto,Zwolle,27/08/1850,26/05/1878,1178.0,A.J. Duymaer van Twist,00353,279721.15,810.8845200155688,265941.78305636195
257,mr. W.G. Hovy,Zwolle,09/04/1861,28/07/1886,420498.12,J.P.J.A. graaf van Zuylen van Nijevelt,01602,564527.69,383979.2002259802,535838.577873338
258,mr. W.G. Hovy,Zwolle,10/06/1862,28/07/1886,420498.12,G.A. de Meester,00891,,383979.2002259802,
259,mr. C.P. Henny,Arnhem,02/05/1865,06/07/1897,261152.34,J.P.J.A. graaf van Zuylen van Nijevelt,01602,564527.69,269179.69037441944,535838.577873338
260,mr. A. Schouten,Nijmegen,10/06/1862,28/03/1876,,J.A.C.A. van Nispen van Sevenaer,00974,,,
261,mr. W.R. baron van Tuyll van Serooskerke,Utrecht,30/10/1866,09/04/1888,560405.41,E. du Marchie van Voorthuysen,00878,570020.14,522896.5391771188,588449.4131791339
262,mr. W.R. baron van Tuyll van Serooskerke,Utrecht,30/10/1866,09/04/1888,560405.41,N.P.J. Kien,00697,,522896.5391771188,
263,J.D. Kruseman,Hoorn,20/04/1852,13/01/1861,,A.S. van Nierop,00963,,,
264,S. de Vries,Hoorn,20/04/1852,13/11/1916,62734.11,A.S. van Nierop,00963,,46607.28664392952,
265,H. Koomen,Hoorn,30/07/1858,16/05/1884,61619.8,F.A. van Hall,00515,,52627.39334723747,
266,H. Raat,Hoorn,14/06/1864,14/02/1899,2412.55,A.S. van Nierop,00963,,2396.81957810015,
267,mr. J. de Neufville,Hoorn,14/06/1864,22/04/1884,207507.35,A.S. van Nierop,00963,,177225.03044302118,
268,dr. C.G. von Reeken,Haarlem,10/06/1879,16/04/1907,2863.82,W. de Meyier,00917,187738.57,2630.316910614959,173921.01133027382
269,D.A. van Heemskerk Veeckens,Amsterdam,03/11/1864,08/03/1894,91379.8,J.J. Rochussen,01116,,94334.19262418801,
270,G.C.C. Pels Rijcken,Amsterdam,08/06/1869,02/05/1889,20843.97,T.J. Stieltjes,01303,0.0,19773.88087975186,0.0
271,G.C.C. Pels Rijcken,Amsterdam,08/06/1869,02/05/1889,20843.97,J. Heemskerk Bzn.,00538,1948.0,19773.88087975186,1430.3669240207687
272,G.C.C. Pels Rijcken,Amsterdam,08/06/1869,02/05/1889,20843.97,M.J. de Lange,00784,223380.55,19773.88087975186,212539.4474970895
273,A.J.H. van der Toorn,Amsterdam,10/06/1873,08/02/1883,94867.77,T.J. Stieltjes,01303,0.0,68763.69397321739,0.0
274,A.J.H. van der Toorn,Amsterdam,10/06/1873,08/02/1883,94867.77,M.J. de Lange,00784,223380.55,68763.69397321739,212539.4474970895
275,A.J.H. van der Toorn,Amsterdam,10/06/1873,08/02/1883,94867.77,J.A. Jolles,00645,28244.71,68763.69397321739,20676.44183266623
276,mr. A. Jongkindt Coninck,Leiden,18/08/1857,12/03/1870,,N. Olivier,01000,,,
277,mr. D.T. Siegenbeek,Leiden,14/06/1864,11/01/1866,,R.J. graaf van Schimmelpenninck,01202,52516.85,,53035.91186180322
278,D. Hartevelt,Leiden,28/10/1884,30/10/1896,318947.8,O. van Wassenaer van Catwijck,01509,465286.54,341729.78555124556,442366.0208737353
279,D. Hartevelt,Leiden,28/10/1884,30/10/1896,318947.8,J.H. Donner,00334,29614.65,341729.78555124556,28827.979771377537
280,mr. W. Thorbecke,Gouda,12/06/1883,04/10/1917,,K.A. Godin de Beaufort,00465,,,
281,mr. W. Thorbecke,Gouda,30/10/1883,04/10/1917,,U.H. Huber,00612,192459.58,,130414.62979673278
282,mr. A.M. de Rouville,Delft,17/05/1853,09/10/1881,,W. Wintgens,01557,628560.775,,656293.619577483
283,mr. A.M. de Rouville,Delft,17/05/1853,09/10/1881,,C. Hoekwater,00586,2077.0,,1455.4417445130725
284,J. Voorhoeve H Czn.,Rotterdam,24/08/1880,19/01/1881,,O. van Rees,01093,454809.63,,432736.81382087973
285,jhr.mr. J.K.W. Quarles van Ufford,Den Haag,14/06/1881,09/03/1902,,R.J. graaf van Schimmelpenninck,01202,52516.85,,53035.91186180322
286,mr. J.G. Kist,Dordrecht,27/12/1859,29/06/1897,,P.A. Sander,01169,,,
287,G.H. Veth,Dordrecht,22/04/1879,14/11/1907,,J.B. van Osenbruggen,01006,,,
288,C. van Andel,Gorinchem,15/06/1886,01/09/1912,,H. Seret,01238,4436.6,,3955.638129700691
289,C. van Andel,Gorinchem,15/06/1886,01/09/1912,,B.J.L. van Geer van Jutphaas,00433,237120.17,,230821.4165673274
290,mr. C.P. Lenshoek,Goes,13/06/1871,01/02/1901,,P.H. Saaymans Vader,01166,,,
291,mr. J.E. van den Broek,Zierikzee,12/02/1863,14/09/1872,,J.J. van Kerkwijk,00684,319236.01,,285890.36377138627
292,mr. D. van Weel,Zierikzee,12/02/1863,14/04/1886,,J.J. van Kerkwijk,00684,319236.01,,285890.36377138627
293,mr. P.J. Verduijn,Breda,25/02/1862,05/05/1870,,N.R.H. Guljé,00497,88957.915,,78166.68272079006
294,mr. J.J. Loke,Tilburg,17/05/1853,18/05/1880,,F.J. Jespers,00642,,,
295,mr. J.J. Loke,Tilburg,17/05/1853,18/05/1880,,C.C.A. Beens,00078,117229.005,,111454.17718904404
296,B.H.M. Hanlo,Tilburg,30/10/1866,04/03/1902,,C.C.A. Beens,00078,117229.005,,111454.17718904404
297,B.H.M. Hanlo,Tilburg,30/10/1866,04/03/1902,,J.B.A.J.M. Verheyen,01414,77284.135,,78864.14195853526
298,L.D. van Heyst,Den Bosch,27/08/1850,20/04/1866,,J.L.A. Luyben,00852,,,
299,L.D. van Heyst,Den Bosch,27/08/1850,20/04/1866,,F.G.J. van Rijckevorsel van Kessel,01466,,,
300,mr. D.R.B. baron van Lynden,Arnhem,09/06/1891,08/05/1916,,P. Rink,01113,220457.0,,144618.61899032828
301,mr. H.J.H. baron van Boetzelaer van Oosterhout,Amersfoort,27/03/1888,12/07/1924,,Æ. van Mackay 2,00861,,,
302,M.J. Chevallier,Apeldoorn,10/04/1894,23/10/1909,,W.K.F.P. graaf van Bylandt,00245,,,
303,P.C.F. Frowein,Den Helder,30/10/1894,04/08/1917,,A.P. Staalman,01293,,,
304,J.G. van den Bosch,Den Helder,30/10/1894,20/02/1920,,A.P. Staalman,01293,,,
305,J.C. van Schermbeek,Amsterdam,06/03/1888,18/12/1902,,J.T. Cremer,00279,,,
306,J.C. van Schermbeek,Amsterdam,06/03/1888,18/12/1902,,J.G. Gleichman,00462,663355.45,,605681.4640750177
307,J.C. van Schermbeek,Amsterdam,06/03/1888,18/12/1902,,A. Gildemeester,00458,104918.0,,93958.84000105847
308,J.C. van Schermbeek,Amsterdam,06/03/1888,18/12/1902,,A. Kerdijk,00682,,,
309,J.C. van Schermbeek,Amsterdam,06/03/1888,18/12/1902,,J.P.R. Tak van Poortvliet,01339,1515387.13,,1368528.3605292214
310,J.C. van Schermbeek,Amsterdam,06/03/1888,18/12/1902,,A.F.K. Hartogh,00525,299479.575,,268197.577832307
311,J.C. van Schermbeek,Amsterdam,06/03/1888,18/12/1902,,B.H. Heldt,00553,942.0,,818.1270002310321
312,J.C. van Schermbeek,Amsterdam,06/03/1888,18/12/1902,,J.W.H. Rutgers van Rozenburg,01148,932582.27,,844663.3662986878
313,J.C. van Schermbeek,Amsterdam,06/03/1888,18/12/1902,,J.D. Veegens,01391,46534.3,,42844.31206167665
314,mr. E.P.F.A. van den Bogaert,Amsterdam,10/04/1894,23/06/1927,,B.H. Heldt,00553,942.0,,818.1270002310321
315,mr. E.P.F.A. van den Bogaert,Amsterdam,10/04/1894,23/06/1927,,A.F.K. Hartogh,00525,299479.575,,268197.577832307
316,mr. E.P.F.A. van den Bogaert,Amsterdam,10/04/1894,23/06/1927,,A. Kerdijk,00682,,,
317,mr. E.P.F.A. van den Bogaert,Amsterdam,10/04/1894,23/06/1927,,J.P.R. Tak van Poortvliet,01339,1515387.13,,1368528.3605292214
318,mr. E.P.F.A. van den Bogaert,Amsterdam,10/04/1894,23/06/1927,,J.T. Cremer,00279,,,
319,mr. E.P.F.A. van den Bogaert,Amsterdam,10/04/1894,23/06/1927,,W.K.M. Vrolik,01491,75097.99,,67820.11480705916
320,mr. E.P.F.A. van den Bogaert,Amsterdam,10/04/1894,23/06/1927,,M.W.F. Treub,01375,70949.45,,46542.461708945135
321,mr. E.P.F.A. van den Bogaert,Amsterdam,10/04/1894,23/06/1927,,J.G. Gleichman,00462,663355.45,,605681.4640750177
322,mr. E.P.F.A. van den Bogaert,Amsterdam,10/04/1894,23/06/1927,,J.W.H. Rutgers van Rozenburg,01148,932582.27,,844663.3662986878
323,C.J. Huvers,Hontenisse,10/04/1894,23/08/1911,,F.J.F.M. Walter,01507,14338.53,,14338.53
