,Regio,Type,sub_election,RegioCode,RegioUitslag,Kandidaat,AantalStemmen,main_election,Electoraat,Geldig,no_of_candidates,number,voteshare,politician,seats,minvswinner,maxvswinner,margin,overleden,plaats,archiefnummer,found,opmerking,bron,,
2004,Amsterdam,algemeen,1884-10-28,KD72,,H.W. van Marle,332,1884-10-28,5595,23580,18,16,0.014079728583545,0,7,0.080152671755725,0.105894826123834,0.06607294317218,,,,,,,,
2019,Amsterdam,algemeen,1886-06-15,KD72,,C. Hartsen,671,1886-06-15,6059,23069,21,8,0.029086653084226,0,7,0.099614200875634,0.102735272443539,0.070527547791408,,,,,,,,
2025,Amsterdam,algemeen,1886-06-15,KD72,,P.H. Smithuijzen,605,1886-06-15,6059,23069,21,14,0.026225670813646,0,7,0.099614200875634,0.102735272443539,0.073388530061988,,,,,,,,
2029,Amsterdam,algemeen,1886-06-15,KD72,,H.W. van Marle,299,1886-06-15,6059,23069,21,18,0.01296111665005,0,7,0.099614200875634,0.102735272443539,0.086653084225584,,,,,,,,
2030,Amsterdam,algemeen,1886-06-15,KD72,,W. Hovy,299,1886-06-15,6059,23069,21,19,0.01296111665005,0,7,0.099614200875634,0.102735272443539,0.086653084225584,,,,,,,,
2045,Amsterdam,algemeen,1887-09-01,KD72,,W. Hovy,313,1887-09-01,6001,10710,14,8,0.02922502334267,0,7,0.103921568627451,0.112231559290383,0.074696545284781,,,,,,,,
2047,Amsterdam,algemeen,1887-09-01,KD72,,H.W. van Marle,298,1887-09-01,6001,10710,14,10,0.027824463118581,0,7,0.103921568627451,0.112231559290383,0.07609710550887,,,,,,,,
2069,Amsterdam,algemeen,1888-03-06,KD72,,H. Waller,4970,1888-03-06,20887,140176,36,13,0.035455427462618,0,9,0.061786611117452,0.067579328843739,0.026331183654834,,,,,,,,
2070,Amsterdam,algemeen,1888-03-06,KD72,,E.J.J. Kuinders,4944,1888-03-06,20887,140176,36,14,0.035269946353156,0,9,0.061786611117452,0.067579328843739,0.026516664764296,,,,,,,,
2072,Amsterdam,algemeen,1888-03-06,KD72,,L.M. Povel,4777,1888-03-06,20887,140176,36,16,0.034078586919301,0,9,0.061786611117452,0.067579328843739,0.027708024198151,,,,,,,,
2073,Amsterdam,algemeen,1888-03-06,KD72,,J.F. Farensbach,4686,1888-03-06,20887,140176,36,17,0.033429403036183,0,9,0.061786611117452,0.067579328843739,0.028357208081269,,,,,,,,
2074,Amsterdam,algemeen,1888-03-06,KD72,,J.A.J. van Nederhasselt,4622,1888-03-06,20887,140176,36,18,0.032972834151353,0,9,0.061786611117452,0.067579328843739,0.0288137769661,,,,,,,,
2075,Amsterdam,algemeen,1888-03-06,KD72,,P.J. Raaymakers,3018,1888-03-06,20887,140176,36,19,0.021530076475288,0,9,0.061786611117452,0.067579328843739,0.040256534642164,,,,,,,,
2077,Amsterdam,algemeen,1888-03-06,KD72,,V. Bruinsma,2402,1888-03-06,20887,140176,36,21,0.017135600958795,0,9,0.061786611117452,0.067579328843739,0.044651010158658,,,,,,,,
2078,Amsterdam,algemeen,1888-03-06,KD72,,H.W. van Marle,2182,1888-03-06,20887,140176,36,22,0.01556614541719,0,9,0.061786611117452,0.067579328843739,0.046220465700263,,,,,,,,
2080,Amsterdam,algemeen,1888-03-06,KD72,,J.C. van Schermbeek,951,1888-03-06,20887,140176,36,24,0.006784328273028,0,9,0.061786611117452,0.067579328843739,0.055002282844424,,,,,,,,
2081,Amsterdam,algemeen,1888-03-06,KD72,,J.M. Smit,836,1888-03-06,20887,140176,36,25,0.005963931058098,0,9,0.061786611117452,0.067579328843739,0.055822680059354,,,,,,,,
2082,Amsterdam,algemeen,1888-03-06,KD72,,J.G. Sillem,605,1888-03-06,20887,140176,36,26,0.004316002739413,0,9,0.061786611117452,0.067579328843739,0.057470608378039,,,,,,,,
2083,Amsterdam,algemeen,1888-03-06,KD72,,M.J. van Lennep,581,1888-03-06,20887,140176,36,27,0.004144789407602,0,9,0.061786611117452,0.067579328843739,0.05764182170985,,,,,,,,
2084,Amsterdam,algemeen,1888-03-06,KD72,,W.A. Paap,576,1888-03-06,20887,140176,36,28,0.004109119963474,0,9,0.061786611117452,0.067579328843739,0.057677491153978,,,,,,,,
2087,Amsterdam,algemeen,1888-03-06,KD72,,W. baron van Ro�ll,545,1888-03-06,20887,140176,36,31,0.003887969409885,0,9,0.061786611117452,0.067579328843739,0.057898641707568,,,,,,,,
2088,Amsterdam,algemeen,1888-03-06,KD72,,J.A. Nieuwenhuis,488,1888-03-06,20887,140176,36,32,0.003481337746833,0,9,0.061786611117452,0.067579328843739,0.05830527337062,,,,,,,,
2089,Amsterdam,algemeen,1888-03-06,KD72,,D.R. Mansholt,424,1888-03-06,20887,140176,36,33,0.003024768862002,0,9,0.061786611117452,0.067579328843739,0.05876184225545,,,,,,,,
2090,Amsterdam,algemeen,1888-03-06,KD72,,P.H.A. Schr�der,407,1888-03-06,20887,140176,36,34,0.002903492751969,0,9,0.061786611117452,0.067579328843739,0.058883118365483,,,,,,,,
2092,Amsterdam,algemeen,1888-03-06,KD72,,J.A. Fortuyn,277,1888-03-06,20887,140176,36,36,0.001976087204657,0,9,0.061786611117452,0.067579328843739,0.059810523912795,,,,,,,,
2107,Amsterdam,algemeen,1891-06-09,KD72,,H. Tindal,2754,1891-06-09,22531,119264,42,10,0.023091628655755,0,9,0.057536222162597,0.073123490743225,0.034444593506842,,,,,,,,
2108,Amsterdam,algemeen,1891-06-09,KD72,,W. Hovy,2702,1891-06-09,22531,119264,42,11,0.022655621143011,0,9,0.057536222162597,0.073123490743225,0.034880601019587,,,,,,,,
2110,Amsterdam,algemeen,1891-06-09,KD72,,D.P.D. Fabius,2519,1891-06-09,22531,119264,42,13,0.021121210088543,0,9,0.057536222162597,0.073123490743225,0.036415012074054,,,,,,,,
2113,Amsterdam,algemeen,1891-06-09,KD72,,H. Waller,2385,1891-06-09,22531,119264,42,16,0.019997652267239,0,9,0.057536222162597,0.073123490743225,0.037538569895358,,,,,,,,
2114,Amsterdam,algemeen,1891-06-09,KD72,,W. Heineken,2385,1891-06-09,22531,119264,42,17,0.019997652267239,0,9,0.057536222162597,0.073123490743225,0.037538569895358,,,,,,,,
2115,Amsterdam,algemeen,1891-06-09,KD72,,H.P.C.W.H.J.B. van Son,2383,1891-06-09,22531,119264,42,18,0.019980882747518,0,9,0.057536222162597,0.073123490743225,0.037555339415079,,,,,,,,
2119,Amsterdam,algemeen,1891-06-09,KD72,,L. Stevens,2156,1891-06-09,22531,119264,42,22,0.01807754225919,0,9,0.057536222162597,0.073123490743225,0.039458679903408,,,,,,,,
2120,Amsterdam,algemeen,1891-06-09,KD72,,V. Bruinsma,2063,1891-06-09,22531,119264,42,23,0.017297759592165,0,9,0.057536222162597,0.073123490743225,0.040238462570432,,,,,,,,
