Indexnummer,Re,Dugobo,Fogobo,Duprbo,Foprbo,Dush,Fosh,Cash,Misc,Debt,TA11,TL11,NW11,TA0,TL0,NW0,W_DEFLATED,W_DEFLATED2
00838,95594.75,14753,84990,189296.7,18905,16381,5980,0,5647,-2542.46,445563.7,-2542.46,443900.33,445563.7,-1663.37,443900.33,377257.138842643,377257.138842643
00840,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Err:520,Err:520
00847,0,4016,0,8479,0,13468,1374,25,1449,-3842.82,28816.19,-3842.82,24973.37,28816.19,-3624.07,25192.12,19868.92688322,19696.3996105767
00849,377863.06,15490,0,19070,0,10985,0,20750,9232,-11454.61,453392.06,-11454.61,219929.79,226696.03,-6766.3,219929.72,152126.146936678,152126.195355919
00851,89950,16417,0,3291,0,64713,0,3173,8256,-2581.16,105802.8,-2581.16,103221.64,105802.8,-2581.16,103221.65,112294.88599977,112294.875120765
00857,731250,0,5532,9249.1,3528,33266.3,3003,2066,78214.4,-209056.36,840801.3,-114700.37,726100.92,840801.3,-114700.37,726100.92,748925.515443808,748925.515443808
00858,1108853.57,380623,65234,295586,140061,234932,70045,0,37479,0,2342264.29,0,2394666.89,2421562.52,-26895.63,2394666.89,1892869.13578906,1892869.13578906
00862,123989,409,19970,14986,18347,43403,16316,2014,3754,-1896.75,244163.65,-1896.75,242371.93,244153.58,-1896.75,242256.87,246824.843130014,246942.07269073
00864,31000,45475,4628,139332,34,31571,1050,0,20000,-17559.36,273101.15,-17559.36,255541.79,277056.14,-17413.25,259640.89,172732.990178479,170005.95515699
00869,98460,19783.13,33016.295,53869.35,6970.6,24630.5,9660.54,550,5484.13,-4369,252424.545,-2465.53,248055.545,252299.54,-4369,247930.54,171494.410842381,171580.877232634
00870,3000,2445,15806,3650,64303,8580,2543,816,6919,-1487.99,124837.13,-1487.99,59367.64,62468.56,-3100.92,59367.64,64586.0860185377,64586.0860185377
00871,267479,0,0,20166,0,2312,0,5179,41936,-93931.12,262430.4,-36467.21,225963.19,261430,-36467.21,224962.79,244737.134673203,245825.470346525
00878,514150,33462.58,0,11700,0,2400,0,979,7975.96,-1465.32,571485.46,-1465.32,570020.14,571485.46,-1465.32,570020.14,679677.093054434,679677.093054434
00880,145172,0,1082,10335,49865,247113.75,41106,28,29128,-6061.66,520831.1,-6061.66,648043.57,667882.22,-17197.81,650684.41,663784.348107878,661090.34125768
00888,32000,12985,6543.4,134815,9755,71615.2,714,14010,6505,-6698.75,284558.33,-5948.75,278609.58,292588,-5948,286640,215112.065250626,209085.550350298
00889,0,22456,7572,216713.1,14406,94026,0,650,5520,-3982.97,370399.09,-3982.97,366416.12,370399.09,-3982.97,366416.12,302533.518370546,302533.518370546
00892,24000,11125,6968,37431,6621,27382,847,100,15828,-5436.42,131550,-5436.42,59820.95,65775,-2718.21,59820.95,36110.961532994,36110.961532994
00893,32054,2000,11427,21294,112928,7762,0,1364,5057,-2540,193891.48,-4301.48,189590,193891.48,-4301.48,189500,191308.220043163,191399.078828408
00894,26847,0,31227,6424,22331,4581,2760,220,3152,-552.97,100239.22,-552.97,99463.14,100239.72,-776.07,99463.64,99463.64,99463.14
00895,28802,38437,40504,1885,11454,4520,5909,4682,2694,-2642.76,138591.63,-2642.76,135948.86,138591.63,-2605.71,135985.92,135005.603527593,134968.810691491
00901,422711,115516.5,340296,265512.5,224085,324345,240376,942.5,58948.5,0,2002279.14,0,2002279.14,2002254.14,0,2002254.14,2057116.98698588,2057142.67199941
00903,30150,11807,15327,10469,0,0,0,3837,2448,-816.58,74001.95,-816.58,73785.37,74001.95,-816.58,73785.37,62707.9001600332,62707.9001600332
00906,127965,1141,762,12849,0,71015.35,0,0,12018,-96374.38,251803.2,-96374.38,155428.82,251832.53,-95474.71,156357.81,155230.633475162,154308.340522913
00917,240000,30150,41110.725,133119.7,72895.015,64083.65,1484.5,2000,12851.75,-1398.04,188847.0325,-579.045,187738.51,188847.03,-1108.52,187738.57,191278.551108594,191278.48997724
