"District","Dag","Maand","Jaar","Type","Electoraat","Opkomst","Stembriefjes","Geldig","Blanco"
"Leiden","30","10","1866","algemeen","2643","1957","1957","3741","37"
"Gouda","30","10","1866","algemeen","3528","2637","2637","5189","65"
"Delft","30","10","1866","algemeen","2759","2169","2169","4297","42"
"Rotterdam","30","10","1866","algemeen","2935","2237","2237","6651","40"
"Den Haag","30","10","1866","algemeen","2237","1745","1745","3456","26"
"Dordrecht","30","10","1866","algemeen","2165","1774","1774","3507","29"
"Gorinchem","30","10","1866","algemeen","3009","2332","2334","4562","40"
"Middelburg","30","10","1866","algemeen","2693","2059","2059","3971","55"
"Goes","30","10","1866","algemeen","1358","1127","1127","1112","7"
"Zierikzee","30","10","1866","algemeen","1288","1027","1027","1004","10"
"Breda","30","10","1866","algemeen","3782","2866","2866","5628","94"
"Tilburg","30","10","1866","algemeen","3095","2298","2299","4511","77"
"Eindhoven","30","10","1866","algemeen","2268","1591","1592","3084","96"
"Maastricht","30","10","1866","algemeen","2389","1758","1759","2912","566"
"Roermond","30","10","1866","algemeen","1932","1672","1672","2966","368"
"Boxmeer","30","10","1866","algemeen","1190","776","776","752","21"
"Den Bosch","30","10","1866","algemeen","2920","2188","2189","4229","149"
"Assen","13","11","1866","herstemming","2247","1529","1530","2916","138"
"Zwolle","13","11","1866","herstemming","2701","1662","1662","1650","11"
"Almelo","13","11","1866","herstemming","1844","1639","1640","1627","4"
"Deventer","13","11","1866","herstemming","2631","1593","1593","1578","11"
"Zutphen","13","11","1866","herstemming","2763","1468","1469","1440","16"
"Utrecht","13","11","1866","herstemming","2944","1645","1644","1631","8"
"Hoorn","13","11","1866","herstemming","3489","2267","2267","2252","9"
"Haarlem","13","11","1866","herstemming","2507","1951","1951","3794","102"
"Amsterdam","13","11","1866","herstemming","4249","2965","2965","8023","860"
"Gouda","13","11","1866","herstemming","3528","2162","2162","2141","14"
"Delft","13","11","1866","herstemming","2759","1949","1949","3833","57"
