,amco,year,name,totaal personele belastingen,total_inhabitants,taxes_percap
263,10047,1889,"Soerendonk, Sterksel En Gastel",442.0,488.0,0.9057377049180327
264,10048,1859,Geleen,777.0,1492.6666666666667,0.5205448861098705
265,10048,1869,Geleen,929.0,2231.0,0.4164051994621246
266,10048,1870,Geleen,1055.0,2258.0,0.46722763507528786
267,10048,1879,Geleen,1115.0,2265.0,0.4922737306843267
268,10048,1889,Geleen,1252.0,1192.0,1.0503355704697988
269,10048,1933,Geleen,,14162.0,
270,10048,1934,Geleen,,14380.0,
271,10049,1859,Huisseling En Neerloon,669.0,465.0,1.4387096774193548
272,10049,1869,Huisseling En Neerloon,721.0,671.0,1.07451564828614
273,10049,1870,Huisseling En Neerloon,712.0,667.0,1.0674662668665666
274,10049,1879,Huisseling En Neerloon,709.0,622.0,1.139871382636656
275,10049,1889,Huisseling En Neerloon,762.0,319.0,2.3887147335423196
276,10050,1859,Lekkerkerk,2656.0,1791.3333333333333,1.4826944547822851
277,10050,1859,Nederlek,,0.0,
278,10050,1869,Lekkerkerk,2727.0,2748.0,0.99235807860262
279,10050,1869,Nederlek,,0.0,
280,10050,1870,Lekkerkerk,2780.0,2801.0,0.9925026776151374
281,10050,1870,Nederlek,,0.0,
282,10050,1879,Lekkerkerk,3707.0,2952.0,1.255758807588076
283,10050,1879,Nederlek,,0.0,
284,10050,1889,Lekkerkerk,4709.0,1687.0,2.791345583876704
285,10050,1889,Nederlek,,0.0,
286,10050,1933,Lekkerkerk,,4453.0,
287,10050,1933,Nederlek,,0.0,
288,10050,1934,Lekkerkerk,,4427.0,
289,10050,1934,Nederlek,,0.0,
290,10052,1859,'S Gravendeel,2580.0,1945.3333333333333,1.3262508567511995
291,10052,1869,'S Gravendeel,3129.0,3431.0,0.911979014864471
292,10052,1870,'S Gravendeel,3142.0,3412.0,0.9208675263774913
293,10052,1879,'S Gravendeel,3806.0,3681.0,1.0339581635425157
294,10052,1889,'S Gravendeel,3859.0,1982.5,1.9465321563682219
295,10052,1933,'S Gravendeel,,4826.0,
296,10052,1934,'S Gravendeel,,4838.0,
297,10053,1859,Cromvoirt,411.0,333.6666666666667,1.2317682317682317
298,10053,1869,Cromvoirt,446.0,468.0,0.9529914529914529
299,10053,1870,Cromvoirt,444.0,478.0,0.9288702928870293
300,10053,1879,Cromvoirt,515.0,457.0,1.12691466083151
301,10053,1889,Cromvoirt,554.0,266.0,2.082706766917293
302,10054,1859,Den Bosch,60511.0,15067.333333333334,4.01603911331357
303,10054,1869,Den Bosch,63433.0,24346.0,2.6054793395218927
304,10054,1870,Den Bosch,66273.0,24446.0,2.7109956639122963
305,10054,1879,Den Bosch,74766.0,24678.0,3.0296620471675175
306,10054,1889,Den Bosch,77536.0,13569.0,5.71420148868745
307,10054,1933,Den Bosch,,44615.0,
308,10054,1934,Den Bosch,,45420.0,
309,10055,1859,Noordwelle,936.0,296.3333333333333,3.158605174353206
310,10055,1869,Noordwelle,1025.0,456.0,2.2478070175438596
311,10055,1870,Noordwelle,1053.0,479.0,2.198329853862213
312,10055,1879,Noordwelle,1171.0,490.0,2.389795918367347
313,10055,1889,Noordwelle,1204.0,273.5,4.4021937842778796
314,10055,1933,Noordwelle,,438.0,
315,10055,1934,Noordwelle,,442.0,
316,10056,1859,Besoijen,1118.0,670.6666666666666,1.6669980119284296
317,10056,1869,Besoijen,1132.0,1148.0,0.9860627177700348
318,10056,1870,Besoijen,1164.0,1171.0,0.9940222032450897
319,10056,1879,Besoijen,1793.0,1507.0,1.1897810218978102
320,10056,1889,Besoijen,1585.0,750.5,2.111925383077948
321,10057,1859,Deil,2121.0,1363.3333333333333,1.5557457212713937
322,10057,1869,Deil,2406.0,2155.0,1.1164733178654291
323,10057,1870,Deil,2319.0,2170.0,1.068663594470046
324,10057,1879,Deil,2589.0,2228.0,1.1620287253141832
325,10057,1889,Deil,2954.0,1101.5,2.681797548797095
326,10057,1933,Deil,,2225.0,
327,10057,1934,Deil,,2229.0,
328,10058,1859,Leiderdorp,4376.0,1262.0,3.467511885895404
329,10058,1869,Leiderdorp,4622.0,2343.0,1.9726845924029022
330,10058,1870,Leiderdorp,4760.0,2422.0,1.9653179190751444
331,10058,1879,Leiderdorp,6286.0,3033.0,2.0725354434553247
332,10058,1889,Leiderdorp,6103.0,1925.5,3.1695663464035317
333,10058,1933,Leiderdorp,,2641.0,
334,10058,1934,Leiderdorp,,2904.0,
335,10059,1859,Zuilen,2480.0,527.0,4.705882352941177
336,10059,1869,Zuilen,2336.0,791.0,2.9532237673830593
337,10059,1870,Zuilen,2391.0,800.0,2.98875
338,10059,1879,Zuilen,2300.0,858.0,2.6806526806526807
339,10059,1889,Zuilen,2263.0,530.0,4.269811320754717
340,10059,1933,Zuilen,,15496.0,
341,10059,1934,Zuilen,,16131.0,
342,10060,1859,Baarle Nassau,1557.0,1396.0,1.1153295128939829
343,10060,1869,Baarle Nassau,1638.0,2198.0,0.7452229299363057
344,10060,1870,Baarle Nassau,1870.0,2195.0,0.8519362186788155
345,10060,1879,Baarle Nassau,1957.0,2226.0,0.8791554357592093
346,10060,1889,Baarle Nassau,1943.0,1080.0,1.799074074074074
347,10060,1933,Baarle Nassau,,3419.0,
348,10060,1934,Baarle Nassau,,3461.0,
349,10062,1859,Amstenrade,353.0,341.6666666666667,1.033170731707317
350,10062,1869,Amstenrade,358.0,462.0,0.7748917748917749
351,10062,1870,Amstenrade,355.0,467.0,0.7601713062098501
352,10062,1879,Amstenrade,375.0,464.0,0.8081896551724138
353,10062,1889,Amstenrade,574.0,254.0,2.2598425196850394
354,10062,1933,Amstenrade,,1674.0,
355,10062,1934,Amstenrade,,1855.0,
356,10063,1859,Spanbroek,2038.0,777.0,2.6229086229086227
357,10063,1869,Spanbroek,2906.0,1416.0,2.0522598870056497
358,10063,1870,Spanbroek,3026.0,1421.0,2.1294862772695287
359,10063,1879,Spanbroek,3684.0,1554.0,2.370656370656371
360,10063,1889,Spanbroek,4047.0,741.5,5.457855697909642
361,10063,1933,Spanbroek,,1784.0,
362,10063,1934,Spanbroek,,1802.0,
363,10064,1889,Schoonebeek,1115.0,855.0,1.304093567251462
364,10064,1933,Schoonebeek,,3617.0,
365,10064,1934,Schoonebeek,,3663.0,
366,10065,1859,Hoeven,1558.0,1247.6666666666667,1.248730964467005
367,10065,1869,Hoeven,1619.0,2179.0,0.7430013767783387
368,10065,1870,Hoeven,1626.0,2218.0,0.7330928764652841
369,10065,1879,Hoeven,1876.0,2516.0,0.7456279809220986
370,10065,1889,Hoeven,1988.0,1258.5,1.579658323400874
371,10065,1933,Hoeven,,4074.0,
372,10065,1934,Hoeven,,4117.0,
373,10066,1859,Vierlingsbeek,1794.0,952.0,1.884453781512605
374,10066,1869,Vierlingsbeek,1849.0,1378.0,1.341799709724238
375,10066,1870,Vierlingsbeek,1799.0,1383.0,1.3007953723788865
376,10066,1879,Vierlingsbeek,1869.0,1369.0,1.3652300949598246
377,10066,1889,Vierlingsbeek,2109.0,685.0,3.078832116788321
378,10066,1933,Vierlingsbeek,,1789.0,
379,10066,1934,Vierlingsbeek,,1808.0,
380,10067,1859,Heerewaarden,558.0,516.0,1.0813953488372092
381,10067,1869,Heerewaarden,834.0,904.0,0.922566371681416
382,10067,1870,Heerewaarden,703.0,939.0,0.7486687965921193
383,10067,1879,Heerewaarden,968.0,1115.0,0.8681614349775785
384,10067,1889,Heerewaarden,1100.0,456.5,2.4096385542168677
385,10067,1933,Heerewaarden,,932.0,
386,10067,1934,Heerewaarden,,942.0,
387,10068,1859,Druten,3994.0,2646.0,1.509448223733938
388,10068,1869,Druten,4375.0,4406.0,0.9929641398093508
389,10068,1870,Druten,4325.0,4391.0,0.9849692552949214
390,10068,1879,Druten,4930.0,4604.0,1.0708079930495222
391,10068,1889,Druten,5036.0,2191.0,2.2984938384299407
392,10068,1933,Druten,,6141.0,
393,10068,1934,Druten,,6219.0,
