politician,vote,law,date,house,b1_nummer
Bongaerts,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00157
de Monte verLoren,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00940
van Vuuren,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01494
de Wijkerslooth de Weerdesteyn,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01580
Duymaer van Twist,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00354
Beckers,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00072
Bogaardt,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00150
Arts,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,00034
van der Voort van Zijp,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01470
Scheurer,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01194
van Vlijmen,0,Inkomstenbelasting 1914,1914-06-03,Tweede Kamer,01458
Vliet,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01454
Eland,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00374
van Doorn,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00337
van de Velde,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01400
Juten,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00665
Fock,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00410
Nolens,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00981
van Bylandt,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00245
Jannink,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00634
Loeff,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00835
Duynstee,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00356
van Wichen,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01538
Heercs,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00544
van den  Berch van Heemstede,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00087
de Visser,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01446
Beumer,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00106
van Sasse van Ysselt,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01172
Fleskens,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00408
van Best,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00104
Boissevain,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00152
van Hamel,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00517
van Idsinga,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00624
Jansen,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00635
Lieftiuck,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00815
Gerretson,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00448
van derVoort van Zijp,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01470
J.W.J.C.M. van Nispen tot Sevenaer,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00975
Smeenge,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01269
Hubrecht,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00613
de Geer,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00432
Visser van IJzendoorn,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01445
Duymaer van Twist,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00354
van Veen,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01392
Rutgers,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01147
Roodhuizen,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01125
Drion,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00344
Rink,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01113
de Meester,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00892
van Raalte,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01075
van Foreest,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00417
Oosterbaan,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01003
ter Spill,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01289
van Vuuren,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01494
de Monté ver Loren,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00940
Bichon van Ijsselmonde,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00111
Patijn,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01023
Bongaerts,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00157
Tydeman,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01384
Schim van der Loeff,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00835
van Deventer,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00303
O.F.A.M. van Nispen tot Sevenaer,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00977
Bogaardt,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00150
Brummelkamp,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00228
Knobel,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00709
van Vollenhoven,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,01460
Beckers,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00072
Aalberse,0,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00001
